,MAC,Imag,Real
2870,1e-07,3.6319499683306606,1.4
2880,1e-07,3.3857142525845525,1.4
2890,1e-07,3.1555985487757185,1.4
2900,1e-07,2.9385403312886464,1.4
2910,1e-07,2.732238095141134,1.4
2920,1e-07,2.53536422267912,1.4
2930,1e-07,2.3466743096772977,1.4
2940,1e-07,2.1648740757503666,1.4
2950,1e-07,1.988686365434014,1.4
2960,1e-07,1.8185105712438943,1.4
2970,1e-07,1.6569573353383773,1.4
2980,1e-07,1.5068380101039054,1.4
2990,1e-07,1.3709280757325477,1.4
3000,1e-07,1.252137431342636,1.4
3010,1e-07,1.1519656072500255,1.4
3020,1e-07,1.0678956856758406,1.4
3030,1e-07,0.9966532435751785,1.4
3040,1e-07,0.9348543714687713,1.4
3050,1e-07,0.8792480354958466,1.4
3060,1e-07,0.827694955548889,1.4
3070,1e-07,0.7794990729588896,1.4
3080,1e-07,0.7338505951236308,1.4
3090,1e-07,0.6900355161007172,1.4
3100,1e-07,0.6474371375629497,1.4
3110,1e-07,0.6060682355354503,1.4
3120,1e-07,0.5662608860856179,1.4
3130,1e-07,0.5282796572147431,1.4
3140,1e-07,0.49246331719386033,1.4
3150,1e-07,0.4591185026133464,1.4
3160,1e-07,0.4283039111743511,1.4
3170,1e-07,0.3998627375605294,1.4
3180,1e-07,0.37363614851504084,1.4
3190,1e-07,0.3494415703035596,1.4
3200,1e-07,0.3270941578984051,1.4
3210,1e-07,0.3064541024409494,1.4
3220,1e-07,0.2874382378480948,1.4
3230,1e-07,0.26994400637400207,1.4
3240,1e-07,0.25388223020962414,1.4
3250,1e-07,0.23915523671047653,1.4
3260,1e-07,0.22574162088350389,1.4
3270,1e-07,0.21364181194906984,1.4
3280,1e-07,0.2028672474915697,1.4
3290,1e-07,0.19342192478901934,1.4
3300,1e-07,0.1852911085373546,1.4
3310,1e-07,0.17828397918889546,1.4
3320,1e-07,0.1721400167188795,1.4
3330,1e-07,0.16658449873223172,1.4
3340,1e-07,0.161339660923134,1.4
3350,1e-07,0.15616250698906964,1.4
3360,1e-07,0.15108036574458086,1.4
3370,1e-07,0.14629570837311473,1.4
3380,1e-07,0.14201315567504355,1.4
3390,1e-07,0.13843565651745074,1.4
3400,1e-07,0.13575294206586747,1.4
3410,1e-07,0.1339338641907767,1.4
3420,1e-07,0.1328043463096538,1.4
3430,1e-07,0.13220385401200513,1.4
3440,1e-07,0.13195461986360413,1.4
3450,1e-07,0.1318886173314458,1.4
3460,1e-07,0.13193724102631527,1.4
3470,1e-07,0.13213262486410937,1.4
3480,1e-07,0.13251896565381469,1.4
3490,1e-07,0.1331212916151307,1.4
3500,1e-07,0.13398847284226653,1.4
3510,1e-07,0.13513832032199688,1.4
3520,1e-07,0.1365492736128697,1.4
3530,1e-07,0.13821141943872098,1.4
3540,1e-07,0.14010280190970203,1.4
3550,1e-07,0.14220918935401292,1.4
3560,1e-07,0.14449222431367462,1.4
3570,1e-07,0.14691714780746823,1.4
3580,1e-07,0.149444821620324,1.4
3590,1e-07,0.152035701949073,1.4
3600,1e-07,0.15465387388641386,1.4
3610,1e-07,0.15733181609812769,1.4
3620,1e-07,0.1601428793541894,1.4
3630,1e-07,0.16316520938622586,1.4
3640,1e-07,0.16647772254325263,1.4
3650,1e-07,0.17016827615663113,1.4
3660,1e-07,0.17426414946001095,1.4
3670,1e-07,0.17869022849280608,1.4
3680,1e-07,0.18332947266117908,1.4
3690,1e-07,0.18807191664838277,1.4
3700,1e-07,0.19280650004980224,1.4
3710,1e-07,0.19749154972474814,1.4
3720,1e-07,0.202122392387998,1.4
3730,1e-07,0.20669848049561795,1.4
3740,1e-07,0.21122344294347536,1.4
3750,1e-07,0.21570094918624738,1.4
3760,1e-07,0.2201892665871009,1.4
3770,1e-07,0.22475143719144955,1.4
3780,1e-07,0.22946376242268937,1.4
3790,1e-07,0.23439059234785423,1.4
3800,1e-07,0.23960535997215818,1.4
3810,1e-07,0.24513971362339934,1.4
3820,1e-07,0.25094894950746716,1.4
3830,1e-07,0.25699645307758934,1.4
3840,1e-07,0.2632238555735742,1.4
3850,1e-07,0.26959794827106237,1.4
3860,1e-07,0.27608089985898376,1.4
3870,1e-07,0.2826646717885128,1.4
3880,1e-07,0.28934114439320446,1.4
3890,1e-07,0.2961021168889934,1.4
3900,1e-07,0.3029349686991538,1.4
3910,1e-07,0.3098834921621931,1.4
3920,1e-07,0.31701803893139185,1.4
3930,1e-07,0.32440524050684144,1.4
3940,1e-07,0.33210795753693123,1.4
3950,1e-07,0.3401808397462826,1.4
3960,1e-07,0.3485470381675659,1.4
3970,1e-07,0.3570936965512079,1.4
3980,1e-07,0.36571132391123795,1.4
3990,1e-07,0.374284985359075,1.4
4000,1e-07,0.3827342120536043,1.4
4010,1e-07,0.3911246620834793,1.4
4020,1e-07,0.3995627450827371,1.4
4030,1e-07,0.40815584409685235,1.4
4040,1e-07,0.41701231558273777,1.4
4050,1e-07,0.4262190355558543,1.4
4060,1e-07,0.43579613699484393,1.4
4070,1e-07,0.4457413598636739,1.4
4080,1e-07,0.45605240356750165,1.4
4090,1e-07,0.46672692695267426,1.4
4100,1e-07,0.47771713361582574,1.4
4110,1e-07,0.48888830043961673,1.4
4120,1e-07,0.5000588700574573,1.4
4130,1e-07,0.510954224986405,1.4
4140,1e-07,0.521434775051931,1.4
4150,1e-07,0.5313597133152088,1.4
4160,1e-07,0.5409552006575344,1.4
4170,1e-07,0.5504494259006981,1.4
4180,1e-07,0.5602575092753947,1.4
4190,1e-07,0.5706129122487037,1.4
4200,1e-07,0.5818904102116548,1.4
4210,1e-07,0.594002722678308,1.4
4220,1e-07,0.6065819692553187,1.4
4230,1e-07,0.6193037576967753,1.4
4240,1e-07,0.6319345251385727,1.4
4250,1e-07,0.6440978738372858,1.4
4260,1e-07,0.6557434206477956,1.4
4270,1e-07,0.6670560690385104,1.4
4280,1e-07,0.6781278651555349,1.4
4290,1e-07,0.689146348789921,1.4
4300,1e-07,0.7003006820851174,1.4
4310,1e-07,0.7115439293948482,1.4
4320,1e-07,0.7223999406556998,1.4
4330,1e-07,0.7323407631007928,1.4
4340,1e-07,0.7406904378356619,1.4
4350,1e-07,0.7471029750481173,1.4
4360,1e-07,0.7518061579718508,1.4
4370,1e-07,0.7551742550127681,1.4
4380,1e-07,0.7574882716663734,1.4
4390,1e-07,0.7592250677752541,1.4
4400,1e-07,0.7606717326564008,1.4
4410,1e-07,0.7618749991620392,1.4
4420,1e-07,0.7625900493583145,1.4
4430,1e-07,0.7625212765781543,1.4
4440,1e-07,0.7614195028156377,1.4
4450,1e-07,0.758984558537578,1.4
4460,1e-07,0.7552572955687632,1.4
4470,1e-07,0.7506723023686458,1.4
4480,1e-07,0.7458156210231064,1.4
4490,1e-07,0.7411794223254745,1.4
4500,1e-07,0.7373094035219663,1.4
4510,1e-07,0.7341112877319317,1.4
4520,1e-07,0.7310429266050222,1.4
4530,1e-07,0.7277568093736757,1.4
4540,1e-07,0.7238028338336484,1.4
4550,1e-07,0.7187772250448238,1.4
4560,1e-07,0.7124732791784657,1.4
4570,1e-07,0.7055357360216046,1.4
4580,1e-07,0.69861460800656,1.4
4590,1e-07,0.6923147970658214,1.4
4600,1e-07,0.6872965567312109,1.4
4610,1e-07,0.683416038153159,1.4
4620,1e-07,0.6801733643644523,1.4
4630,1e-07,0.6770646025168869,1.4
4640,1e-07,0.673530873751025,1.4
4650,1e-07,0.669008837738339,1.4
4660,1e-07,0.6631861573026676,1.4
4670,1e-07,0.6564135879163662,1.4
4680,1e-07,0.6491473156051649,1.4
4690,1e-07,0.0099912,1.4
