,WL,Imag,Real
108,1380,7.345764361892554e-05,1.4
109,1390,9.74720439350047e-05,1.4
110,1400,0.00016650404425108388,1.4
111,1410,0.00023994404456716305,1.4
112,1420,0.0002744480448832422,1.4
113,1430,0.00028910404519932143,1.4
114,1440,0.00029086404551540053,1.4
115,1450,0.00029052004583147973,1.4
116,1460,0.0002799120461475589,1.4
117,1470,0.0002536880464636381,1.4
118,1480,0.00022420804677971724,1.4
119,1490,0.0001944720470957964,1.4
120,1500,0.0001672160474118756,1.4
121,1510,0.00014781604772795478,1.4
122,1520,0.00013462404804403394,1.4
123,1530,0.00012357604836011308,1.4
124,1540,0.00011188804867619226,1.4
125,1550,0.00010299204899227141,1.4
126,1560,9.49600493083506e-05,1.4
127,1570,8.871204962442978e-05,1.4
128,1580,8.261604994050895e-05,1.4
129,1590,7.650805025658812e-05,1.4
130,1600,7.28752505726673e-05,1.4
131,1610,6.888085088874644e-05,1.4
132,1620,6.561605120482562e-05,1.4
133,1630,6.41880515209048e-05,1.4
134,1640,6.181205183698396e-05,1.4
135,1650,5.943365215306313e-05,1.4
136,1660,5.908245246914231e-05,1.4
137,1670,5.956965278522148e-05,1.4
138,1680,6.040245310130065e-05,1.4
139,1690,6.144005341737981e-05,1.4
140,1700,6.338245373345898e-05,1.4
141,1710,6.530485404953817e-05,1.4
142,1720,6.866725436561734e-05,1.4
143,1730,7.32656546816965e-05,1.4
144,1740,7.758005499777566e-05,1.4
145,1750,8.165605531385485e-05,1.4
146,1760,8.574405562993402e-05,1.4
147,1770,9.453605594601318e-05,1.4
148,1780,0.00010315205626209235,1.4
149,1790,0.00010780005657817153,1.4
150,1800,0.00010945605689425071,1.4
151,1810,0.00010973605721032985,1.4
152,1820,0.00011221605752640905,1.4
153,1830,0.0001166080578424882,1.4
154,1840,0.00013416005815856737,1.4
155,1850,0.00018284005847464654,1.4
156,1860,0.0003036480587907257,1.4
157,1870,0.0004963600591068049,1.4
158,1880,0.0006954640594228841,1.4
159,1890,0.0007953120597389632,1.4
160,1900,0.0011141600600550424,1.4
161,1910,0.0014393600603711215,1.4
162,1920,0.0014996800606872007,1.4
163,1930,0.00154080006100328,1.4
164,1940,0.0015105600613193593,1.4
165,1950,0.0014276800616354383,1.4
166,1960,0.0012795200619515176,1.4
167,1970,0.0011772000622675967,1.4
168,1980,0.0010859200625836756,1.4
169,1990,0.0009434400628997551,1.4
170,2000,0.0008294400632158342,1.4
171,2010,0.0007370800635319133,1.4
172,2020,0.0006602160638479925,1.4
173,2030,0.0006179840641640716,1.4
174,2040,0.0005748560644801508,1.4
175,2050,0.0005205680647962299,1.4
176,2060,0.00047914406511230913,1.4
177,2070,0.00044048006542838833,1.4
178,2080,0.00040437606574446756,1.4
179,2090,0.00037781606606054663,1.4
180,2100,0.00036040006637662585,1.4
181,2110,0.000339936066692705,1.4
182,2120,0.00032199206700878416,1.4
183,2130,0.0003091680673248633,1.4
184,2140,0.0002993120676409425,1.4
185,2150,0.0002895520679570217,1.4
186,2160,0.00028226406827310083,1.4
187,2170,0.00027626406858918,1.4
188,2180,0.0002722880689052592,1.4
189,2190,0.0002705040692213384,1.4
190,2200,0.0002706160695374175,1.4
191,2210,0.0002721040698534967,1.4
192,2220,0.00027516807016957583,1.4
193,2230,0.00028160007048565503,1.4
194,2240,0.00029352807080173425,1.4
195,2250,0.0003069200711178134,1.4
196,2260,0.0003193600714338926,1.4
197,2270,0.00033481607174997173,1.4
198,2280,0.0003514160720660509,1.4
199,2290,0.00036651207238213006,1.4
200,2300,0.00037985607269820925,1.4
201,2310,0.0004029360730142884,1.4
202,2320,0.00042637607333036756,1.4
203,2330,0.00046321607364644676,1.4
204,2340,0.0004964480739625259,1.4
205,2350,0.0005266800742786052,1.4
206,2360,0.0005709920745946844,1.4
207,2370,0.0006050000749107634,1.4
208,2380,0.0006561280752268426,1.4
209,2390,0.0007122560755429218,1.4
210,2400,0.0007598160758590009,1.4
211,2410,0.0008249600761750801,1.4
212,2420,0.0008719200764911592,1.4
213,2430,0.0009599200768072385,1.4
214,2440,0.0010531200771233176,1.4
215,2450,0.0011354400774393968,1.4
216,2460,0.001198560077755476,1.4
